Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of EI programs,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days
2000,K13VC,FOX Kids,"Austin, TX",6.5,Analog,Scholastic's Magic School Bus,Core,Network,"Mon-Fri 8-8:30AM (10/2-10/20), M-F, 7-7:30am (10/23-12/29) & Mondays, 3-3:30pm (10/2-12/29)",78,0,30,6,9,The educational and informational objective is to motivate children’s interest in science; introduce science ideas; inspire positive attitudes toward science and education; and model age appropriate science problem solving behavior. Each of the fifty-two ,99,N/A,N/A,N/A
2000,K13VC,FOX Kids,"Austin, TX",6.5,Analog,Awesome Adventures,Core,Syndicated,Sundays 8-8:30AM,11,0,30,13,16,"The program is designed to entertain and inform kids about the histories and cultures of the places they visit during each week’s Awesome Adventure. Children travel the world and experience the excitement of journeys while learning about the beauty of nature, its creatures, and the people who inhabit the land. The shows are designed to make learning fun.",99,N/A,N/A,N/A
2000,K13VC,FOX Kids,"Austin, TX",6.5,Analog,Real Life 101,Core,Syndicated,Sundays 8:30-9AM,11,0,30,13,16,"Five teenage hosts interview different people with different jobs and find out what it is that they do for a living. The teens ask people with colorful and challenging jobs, “What’s the best thing about your career?” “Why did you choose this field?” “What is your typical day like?” “What type of training did you need for your career?”. Other pertinent career information such as the proper way to shake hands, what to wear on a job interview, how to balance a checkbook, and what’s involved in networking is also provided on the program.",99,N/A,N/A,N/A
2000,K13VC,FOX Kids,"Austin, TX",6.5,Analog,Did You Ever Wonder,Core,Syndicated,Sundays 7-7:30AM & 9-9:30AM,14,0,30,6,12,"Provides answers to the “whys” and “hows” of a wide variety of topics that are educational and of interest to kids through video field trips that take the viewers behind the scenes to places that ordinarily would be inaccessible. Some subjects are: jelly beans, bowling balls, potato chips, computers, toy trains, ice cream, wagons, lawn mowers, chocolate, pencils. It’s a show parents can watch with their children.",99,N/A,N/A,N/A
2000,K13VC,FOX Kids,"Austin, TX",6.5,Analog,Critter Gitters,Core,Syndicated,Sundays 7:30-8AM & 9:30-10AM,14,0,30,9,14,"A group of neighborhood kids join forces with two veterinarians and an inventive professor to become a search and rescue unit, a detective agency, and a police force for animals. The Critter Gitters team works with authorities to solve animal mysteries, p",99,N/A,N/A,N/A
2000,K13VC,FOX Kids,"Austin, TX",6.5,Analog,Popular Mechanics for Kids,Core,Syndicated,Sundays 10-10:30AM,13,0,30,8,12,"Based on the magazine, a live action show that explores science, technology and imagination. Teenage hosts set out on a new adventure each week, experiencing first hand, on-location what it’s like to be a fighter pilot, ride the scariest roller coaster, cut an elephant’s toenail or land a helicopter on the deck of a ship. “What does it do?” “How does it work?” “When did it happen?” “Where did it come from” “Who made it possible?” are the questions asked and answered on the program.",99,N/A,N/A,N/A
2000,K13VC,FOX Kids,"Austin, TX",6.5,Analog,Wild America,Core,Syndicated,"Sundays 12-12:30PM (10/1) & Sundays 10""30-11AM (10/8-12/31)",14,0,30,13,16,Mary Stouffer covers American wildlife and the danger that some species face from humans and ever-increasing suburban sprawl.,99,N/A,N/A,N/A
2000,K13VC,FOX Kids,"Austin, TX",6.5,Analog,American Athlete,Core,Syndicated,Sundays 12-12:30PM,13,0,30,13,16,"The American Athlete is a program where sport stars of extremely high distinction and repute in their respective fields are interviewed. In this show, the host, Byron Allen, dwells deep into the athletes inner personality by asking succinct and poignant questions from their early childhood to the time they achieved stardom. As the athletes share their trials, tribulations and growing pains, children and teens ages 13 and up can particularly relate to these life experiences. The answers in particular by the athletes instill self confidence, perseverance and the need to achieve similar goals among the younger viewers. The series offers and satisfies certain key educational and emotional needs by providing to the viewer a sense of discipline, rigor and a want to attain perfection in whatever field he or she sets their mind to.",99,N/A,N/A,N/A
2000,K13VC,FOX Kids,"Austin, TX",6.5,Analog,More than a Game,Non-Core,Syndicated,Sundays 11:30-12AM,14,0,30,13,16,"Athletes from all sports become role models as they tell positive, uplifting stories from on and off the playing field to the target audience of teenagers. The program teaches showmanship, self-discipline and the value of giving in the form of athletes giving back to their communities. Each episode promotes sports in a motivational light, inspiring teens to set goals, work hard at their dreams, and succeed in life.",99,N/A,N/A,N/A
2000,KBVO,NBC,"Austin, TX",4,Analog,Hang Time,Core,Network,Saturdays 9-9:30AM,13,0,30,6,16,"This series concerns the kids at Deering High, focusing on the school's basketball team. Each episode has an educations theme that might address the importance of teamwork, good sportsmanship, relationship building, effective communication, self-confidence or responsibility.",99,N/A,N/A,N/A
2000,KBVO,NBC,"Austin, TX",4,Analog,One World,Core,Network,Saturdays 9:30-10AM,13,0,30,9,16,"Focuses on a family of six adopted and foster children who live with Dave and Karen Blake, a high school baseball coach and his wife. Each of the Blake kids has had a rough life; getting into trouble either at school, or with the law, or getting bounced around to different foster families. Life with the blakes is their chance at a stable future but each child's background influences their perspective on how to handle family and life challenges. In addition to learning how to manage family relationships, the kids deal with other social and cognitive issues, from providing service to help others, to life planning and educational development. There is an emphasis on understanding multiple perspectives on any problem and giving every person a fair chance to prove their worth to others.",99,N/A,N/A,N/A
