Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of EI programs,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days
2005,KFOL,N/A,NEW ORLEANS,10.5,ANALOG,SPORTSMAN'S PARADISE ,CORE,LOCAL,MON-SUN 5PM & 7:30PM,184,0,30,4,16,"PROGRAM ABOUT FISHING AND HUNTING IN LOUISIANA THAT PLACES AN EMPHASIS ON TEACHING CHILDREN ABOUT CONSERVATION OF NATURAL RESOURCES BY EDUCATING THEM ABOUT CATCHING AND RELEASING FISH AMONG OTHER CONSERVATION TECHNIQUES. BOTH HOSTS OF THE SHOW ALSO MAKE A CONSTANT EFFORT TO TEACH CHILDREN TO ENJOY BUT ALSO CONSERVE THE NATURAL RESOURCES AROUND THEM, INCLUDING LOUISIANA'S COASTLINE AND FISH AND WILDLIFE POPULATION.",99,N/A,N/A,N/A
2005,KFOL,N/A,NEW ORLEANS,10.5,ANALOG,ONE ON ONE,CORE,LOCAL,MON-SUN 8:30PM,92,0,30,4,16,"PROGRAM FEATURING AN INTERVIEW CONDUCTED EACH NIGHT BY MARTIN FOLSE OF A DIFFERENT IMPORTANT FIGURE IN LOCAL, REGIONAL, AND STATE POLITICS, HISTORY AND CULTURE. GUESTS RANGE FROM LOCAL RESIDENTS OF NOTE TO POLITICIANS TO MUSICIANS AND ARE CHOSEN WITH EMPHASIS ON ABILITY TO TEACH VIEWERS, ESPECIALLY CHILDREN, ABOUT SOUTH LOUISIANA'S UNIQUE HERITAGE, POLITICS, AND CULTURE.",99,N/A,N/A,N/A
2005,WBXN-CA,UPN,NEW ORLEANS,3,ANALOG,WHADDY ADO ,CORE,SYNDICATED,SUN 12PM & 2:30PM,20,0,30,13,16,Each week teens will learn lessons about how to react when perilous situations and everyday problems occur. Real footage and re-enactments mix with teen-on-the-street interviews and expert opinions on what to do.,99,N/A,N/A,N/A
2005,WBXN-CA,UPN,NEW ORLEANS,3,ANALOG,COOL FUEL ROAD TRIP,CORE,SYNDICATED,SUN 12:30PM,10,0,30,13,16,"A young man and his sidekick dog travel across America, discovering the varied parts of our country while at the same time using their ingenuity to discover alternative fuel sources. In each episode, the intrepid pair make pit stops across the U.S. to discover different ways to provide fuel for their vehicle so they can continue their journey.",99,N/A,N/A,N/A
2005,WBXN-CA,UPN,NEW ORLEANS,3,ANALOG,REAL LIFE 101,CORE,SYNDICATED,SUN 1PM,10,0,30,13,16,"Real life jobs and careers are explored in an energetic style. The careers and people chosen to reflect those categories offer a vital inside look at what it would really be like, and what it takes, to choose a particular profession.",99,N/A,N/A,N/A
2005,WBXN-CA,UPN,NEW ORLEANS,3,ANALOG,B IN TUNE TV,CORE,SYNDICATED,SUN 1:30PM,10,0,30,13,16,"In conjunction with the InTune Foundation and InTune magazine, this show will focus on the music industry as it pertains to young adults. The show is committed to the positive influences of music on the community. It will provide interviews and insights into the top musical stars in all genres with a look at their lives, their inspirations and their recommendations to today's youth.",99,N/A,N/A,N/A
2005,WBXN-CA,UPN,NEW ORLEANS,3,ANALOG,CRASH! BANG! SPLAT!,CORE,SYNDICATED,SUN 2PM,10,0,30,6,12,"Ripping science out of the laboratory and taking it to the real world, this is science for kids BY kids. A series that proves science really is fun, each program shows young kids demonstrating easy, practical and cool activities that anyone can do. At the end of each segment children have a better understanding of the world around them and some dynamic experiments to try themsleves - not to mention a thirst to know more.",99,N/A,N/A,N/A
2005,WBXN-CA,UPN,NEW ORLEANS,3,ANALOG,CRASH! BANG! SPLAT!,CORE,SYNDICATED,SUN 7AM,3,0,30,6,12,"Ripping science out of the laboratory and taking it to the real world, this is science for kids BY kids. A series that proves science really is fun, each program shows young kids demonstrating easy, practical and cool activities that anyone can do. At the end of each segment children have a better understanding of the world around them and some dynamic experiments to try themsleves - not to mention a thirst to know more.",99,N/A,N/A,N/A
2005,WBXN-CA,UPN,NEW ORLEANS,3,ANALOG,B IN TUNE TV,CORE,SYNDICATED,SUN 9:30AM,3,0,30,13,16,"In conjunction with the InTune Foundation and InTune magazine, this show will focus on the music industry as it pertains to young adults. The show is committed to the positive influences of music on the community. It will provide interviews and insights into the top musical stars in all genres with a look at their lives, their inspirations and their recommendations to today's youth.",99,N/A,N/A,N/A
2005,WBXN-CA,UPN,NEW ORLEANS,3,ANALOG,WHADDY ADO ,CORE,SYNDICATED,SUN 7:30AM,3,0,30,13,16,Each week teens will learn lessons about how to react when perilous situations and everyday problems occur. Real footage and re-enactments mix with teen-on-the-street interviews and expert opinions on what to do.,99,N/A,N/A,N/A
